index,feature_name,feature_group
0,HSV_ch0_hist_bin0,Color
1,HSV_ch0_hist_bin1,Color
2,HSV_ch0_hist_bin2,Color
3,HSV_ch0_hist_bin3,Color
4,HSV_ch0_hist_bin4,Color
5,HSV_ch0_hist_bin5,Color
6,HSV_ch0_hist_bin6,Color
7,HSV_ch0_hist_bin7,Color
8,HSV_ch0_hist_bin8,Color
9,HSV_ch0_hist_bin9,Color
10,HSV_ch0_hist_bin10,Color
11,HSV_ch0_hist_bin11,Color
12,HSV_ch0_hist_bin12,Color
13,HSV_ch0_hist_bin13,Color
14,HSV_ch0_hist_bin14,Color
15,HSV_ch0_hist_bin15,Color
16,HSV_ch0_hist_bin16,Color
17,HSV_ch0_hist_bin17,Color
18,HSV_ch0_hist_bin18,Color
19,HSV_ch0_hist_bin19,Color
20,HSV_ch0_hist_bin20,Color
21,HSV_ch0_hist_bin21,Color
22,HSV_ch0_hist_bin22,Color
23,HSV_ch0_hist_bin23,Color
24,HSV_ch0_hist_bin24,Color
25,HSV_ch0_hist_bin25,Color
26,HSV_ch0_hist_bin26,Color
27,HSV_ch0_hist_bin27,Color
28,HSV_ch0_hist_bin28,Color
29,HSV_ch0_hist_bin29,Color
30,HSV_ch0_hist_bin30,Color
31,HSV_ch0_hist_bin31,Color
32,HSV_ch1_hist_bin0,Color
33,HSV_ch1_hist_bin1,Color
34,HSV_ch1_hist_bin2,Color
35,HSV_ch1_hist_bin3,Color
36,HSV_ch1_hist_bin4,Color
37,HSV_ch1_hist_bin5,Color
38,HSV_ch1_hist_bin6,Color
39,HSV_ch1_hist_bin7,Color
40,HSV_ch1_hist_bin8,Color
41,HSV_ch1_hist_bin9,Color
42,HSV_ch1_hist_bin10,Color
43,HSV_ch1_hist_bin11,Color
44,HSV_ch1_hist_bin12,Color
45,HSV_ch1_hist_bin13,Color
46,HSV_ch1_hist_bin14,Color
47,HSV_ch1_hist_bin15,Color
48,HSV_ch1_hist_bin16,Color
49,HSV_ch1_hist_bin17,Color
50,HSV_ch1_hist_bin18,Color
51,HSV_ch1_hist_bin19,Color
52,HSV_ch1_hist_bin20,Color
53,HSV_ch1_hist_bin21,Color
54,HSV_ch1_hist_bin22,Color
55,HSV_ch1_hist_bin23,Color
56,HSV_ch1_hist_bin24,Color
57,HSV_ch1_hist_bin25,Color
58,HSV_ch1_hist_bin26,Color
59,HSV_ch1_hist_bin27,Color
60,HSV_ch1_hist_bin28,Color
61,HSV_ch1_hist_bin29,Color
62,HSV_ch1_hist_bin30,Color
63,HSV_ch1_hist_bin31,Color
64,HSV_ch2_hist_bin0,Color
65,HSV_ch2_hist_bin1,Color
66,HSV_ch2_hist_bin2,Color
67,HSV_ch2_hist_bin3,Color
68,HSV_ch2_hist_bin4,Color
69,HSV_ch2_hist_bin5,Color
70,HSV_ch2_hist_bin6,Color
71,HSV_ch2_hist_bin7,Color
72,HSV_ch2_hist_bin8,Color
73,HSV_ch2_hist_bin9,Color
74,HSV_ch2_hist_bin10,Color
75,HSV_ch2_hist_bin11,Color
76,HSV_ch2_hist_bin12,Color
77,HSV_ch2_hist_bin13,Color
78,HSV_ch2_hist_bin14,Color
79,HSV_ch2_hist_bin15,Color
80,HSV_ch2_hist_bin16,Color
81,HSV_ch2_hist_bin17,Color
82,HSV_ch2_hist_bin18,Color
83,HSV_ch2_hist_bin19,Color
84,HSV_ch2_hist_bin20,Color
85,HSV_ch2_hist_bin21,Color
86,HSV_ch2_hist_bin22,Color
87,HSV_ch2_hist_bin23,Color
88,HSV_ch2_hist_bin24,Color
89,HSV_ch2_hist_bin25,Color
90,HSV_ch2_hist_bin26,Color
91,HSV_ch2_hist_bin27,Color
92,HSV_ch2_hist_bin28,Color
93,HSV_ch2_hist_bin29,Color
94,HSV_ch2_hist_bin30,Color
95,HSV_ch2_hist_bin31,Color
96,Lab_ch0_hist_bin0,Color
97,Lab_ch0_hist_bin1,Color
98,Lab_ch0_hist_bin2,Color
99,Lab_ch0_hist_bin3,Color
100,Lab_ch0_hist_bin4,Color
101,Lab_ch0_hist_bin5,Color
102,Lab_ch0_hist_bin6,Color
103,Lab_ch0_hist_bin7,Color
104,Lab_ch0_hist_bin8,Color
105,Lab_ch0_hist_bin9,Color
106,Lab_ch0_hist_bin10,Color
107,Lab_ch0_hist_bin11,Color
108,Lab_ch0_hist_bin12,Color
109,Lab_ch0_hist_bin13,Color
110,Lab_ch0_hist_bin14,Color
111,Lab_ch0_hist_bin15,Color
112,Lab_ch0_hist_bin16,Color
113,Lab_ch0_hist_bin17,Color
114,Lab_ch0_hist_bin18,Color
115,Lab_ch0_hist_bin19,Color
116,Lab_ch0_hist_bin20,Color
